id,complaint_percentile,unit,is_sup
2981,79.7486,District 022,0
3226,87.2263,Gang Enforcement - Area North,0
6062,28.1729,District 019,0
17239,58.1445,District 012,0
21229,86.3857,District 006,0
23922,86.4468,Detective Area - North,0
30107,97.1081,District 007,0
31119,99.8357,District 005,0
32401,98.3952,Narcotics Division,0
13765,93.6720,District 006,0
18499,49.2366,Detective Area - South,0
22648,59.5201,Juvenile Intervention Support Center (Jisc),0
26052,79.5864,Central Detention Unit,0
3277,98.6130,District 001,0
13810,75.5455,District 002,0
18746,86.5347,Detective Area - South,0
21856,87.6581,District 006,0
23870,66.4514,District 009,0
27800,97.7380,District 025,0
28229,55.9973,Detective Area - North,0
32395,45.9134,Intelligence Section,0
19097,42.4766,District 016,0
19279,91.3470,District 003,0
20367,48.4487,District 011,0
674,52.6919,Arson Section,0
2996,80.8720,District 015,0
3897,99.8624,District 008,0
7273,84.9987,District 004,0
10100,91.3225,District 004,0
16576,70.5743,Detached Services - Miscellaneous Detail,0
18557,86.4201,Detective Area - South,0
16792,56.0763,Public Transportation Section,0
21320,95.1397,Special Weapons And Tactics (Swat) Unit,0
19318,49.4211,Detective Area - North,0
21081,95.0900,Executive Officers Unit,0
26124,88.4987,District 022,0
27360,43.1776,Bureau Of Patrol - Area North,0
30226,98.9798,District 006,0
31381,58.0948,District 015,0
3159,33.4135,District 015,0
6703,71.8582,District 011,0
19278,90.5161,District 005,0
20883,54.0335,District 012,0
27022,96.2821,District 005,0
28814,77.1961,District 017,0
3849,45.4473,Major Accident Investigation Unit,0
7396,18.0318,District 018,0
12478,99.5529,Special Activities Section,0
17083,68.4116,Public Transportation Section,0
21179,50.7508,District 003,0
22337,95.1510,Narcotics Division,0
31626,71.6051,Airport Law Enforcement Section - South,0
909,78.5694,District 005,0
11141,83.2525,Canine Unit,0
15760,97.2425,Public Transportation Section,0
10509,67.6932,District 024,0
10946,80.5319,District 024,0
12203,52.3273,Narcotics Division,0
13481,72.0721,Asset Forfeiture Investigation Section,0
15051,90.3144,Narcotics Division,0
31761,80.6236,District 004,0
32016,99.4192,Narcotics Division,0
32032,97.2833,Gang Investigation Division,0
32255,99.5950,Narcotics Division,0
32413,97.5584,District 002,0
1675,46.4335,District 019,0
12171,45.3837,Detective Area - South,0
18092,96.8133,Gang Enforcement - Area South,0
6696,69.0726,District 011,0
8852,99.0638,District 003,0
11347,81.1585,District 004,0
15833,34.5820,District 001,0
19801,95.8695,District 015,0
