id,complaint_percentile,unit,is_sup,pagerank
4091,98.8728,District 010,0,0.997266843
32116,98.804,District 010,0,0.997266843
15795,95.7013,District 011,0,0.997266843
28255,88.3153,District 009,0,0.997039597
9812,75.0373,Detective Area - South,0,0.996876794
9300,45.5191,District 019,0,0.996876794
24352,42.0879,Special Weapons And Tactics (Swat) Unit,0,0.996876794
15012,90.719,Education And Training Division,0,0.996876794
15470,49.0217,Airport Law Enforcement Section - South,0,0.996876794
21420,59.5253,Detective Area - Central,0,0.996876794
5465,33.8905,District 018,0,0.996876794
18105,61.9579,District 018,0,0.996876794
2555,90.7247,District 018,0,0.996876794
6050,36.9142,Detective Area - Central,0,0.996876794
29445,95.1358,Gang Enforcement - Area Central,0,0.996863636
2314,51.1788,Bomb Squad,0,0.99657709
32418,78.5526,Detached Services - Goverment Security,0,0.99657709
27036,51.7901,District 017,0,0.99657709
20855,46.0869,Intelligence Section,0,0.99657709
17447,65.7636,Detective Area - North,0,0.99657709
1871,73.5738,Detective Area - South,0,0.99657709
14964,70.7348,Detective Area - North,0,0.99657709
10687,80.9009,District 015,0,0.996430554
25910,52.4474,Public Transportation Section,0,0.99599955
28759,87.6581,District 014,0,0.995826685
8799,93.9123,District 009,0,0.99540961
31456,80.8108,Deployment Operations Center,0,0.995297568
8082,94.8454,Gang Enforcement - Area North,0,0.995093161
11816,86.2214,District 022,0,0.995070802
24835,68.8923,Major Accident Investigation Unit,0,0.994980509
7007,79.0376,District 002,0,0.99493271
24680,48.4238,Detective Area - Central,0,0.994737626
30166,90.6109,District 006,0,0.994403652
11620,78.0635,Central Detention Unit,0,0.994329672
27932,80.9417,Detective Area - South,0,0.99404446
2149,56.0176,Narcotics Division,0,0.993672674
19220,95.9459,District 001,0,0.993500632
14731,90.5581,District 005,0,0.993414282
6119,91.9224,Detective Area - Central,0,0.993170433
11450,85.5986,Special Investigations Unit,0,0.993170433
1057,92.847,District 019,0,0.993170433
22758,58.9546,District 007,0,0.993170433
8691,97.4017,District 019,0,0.993170433
21081,95.09,Executive Officers Unit,0,0.993057884
32322,97.7953,Narcotics Division,0,0.993057884
32295,89.3202,Vice & Asset Forfeiture Division,0,0.993057884
9757,79.1945,District 017,0,0.993057884
12978,79.8196,District 011,0,0.993057884
8778,91.9567,Bureau Of Internal Affairs,0,0.993057884
14712,91.0206,Evidence And Recovered Property Section,0,0.992952127
28697,40.6786,District 007,0,0.992952127
26947,75.213,Detective Area - Central,0,0.992952127
22267,39.2011,District 012,0,0.992952127
22026,42.7012,District 012,0,0.992952127
17239,58.1445,District 012,0,0.992952127
32145,82.5494,Narcotics Division,0,0.992952127
15078,51.0263,District 012,0,0.992952127
4107,48.808,Central Detention Unit,0,0.992936117
9532,56.9371,Traffic Section,0,0.992857649
29817,93.5616,District 022,0,0.992857649
13261,53.083,District 001,0,0.992857649
16484,56.9371,District 022,0,0.992857649
21653,71.35,District 009,0,0.992857649
3254,73.0799,Forensic Services Evidence Technician Section,0,0.992857649
2000,44.6372,Public Transportation Section,0,0.992857649
10348,72.0225,District 009,0,0.992857649
6584,73.7495,District 008,0,0.992857649
13471,35.077,Detective Area - Central,0,0.992857649
13958,78.0635,Airport Law Enforcement Section - South,0,0.992857649
21447,72.4848,District 010,0,0.992857649
28937,74.5711,District 004,0,0.992857649
31966,73.2184,Intelligence Section,0,0.992732315
10509,67.6932,District 024,0,0.992732315
10029,66.6897,District 019,0,0.992732315
26250,42.5662,District 016,0,0.992732315
12420,36.9886,District 017,0,0.992732315
24083,76.8845,District 017,0,0.992732315
11593,55.7085,District 017,0,0.992732315
28444,78.671,District 016,0,0.992732315
23960,50.3267,Detective Area - North,0,0.992732315
11654,38.6442,Airport Law Enforcement Section - North,0,0.992732315
23594,87.6581,District 007,0,0.992578885
27935,98.0322,District 015,0,0.992248141
15329,49.9323,Asset Forfeiture Investigation Section,0,0.992121986
32015,98.3226,Narcotics Division,0,0.991992482
21220,97.3902,Gang Enforcement - Area South,0,0.991762582
10488,96.8515,District 002,0,0.991545713
6512,62.2101,Gang Investigation Division,0,0.991438397
1569,32.9656,District 010,0,0.991438397
21812,89.4463,District 015,0,0.991323732
8257,98.9492,Airport Law Enforcement Section - South,0,0.991323732
22337,95.151,Narcotics Division,0,0.991323732
780,67.1621,District 003,0,0.991323732
1588,93.4278,District 006,0,0.991323732
29802,77.2191,Detective Area - South,0,0.991323732
32425,92.3312,District 006,0,0.991323732
26895,85.872,Narcotics Division,0,0.991316926
28207,71.2009,Bureau Of Internal Affairs,0,0.991316926
16959,53.1724,District 024,0,0.991294912
32122,96.1178,Narcotics Division,0,0.991294912
23283,34.5713,Central Detention Unit,0,0.991294912
13481,72.0721,Asset Forfeiture Investigation Section,0,0.991294912
17786,25.6629,District 024,0,0.991294912
9151,71.5372,District 019,0,0.991294912
7396,18.0318,District 018,0,0.991294912
2366,23.3375,District 014,0,0.991294912
13556,75.213,District 015,0,0.991294912
18573,80.1574,Detective Area - Central,0,0.991294912
9091,96.5152,District 025,0,0.991294912
14154,72.6497,District 010,0,0.991294912
8844,68.4116,District 009,0,0.991046802
14174,96.9355,District 009,0,0.990870882
29044,67.708,Detective Area - Central,0,0.990809444
24715,68.2511,District 022,0,0.990569976
2399,87.3409,Detective Area - North,0,0.990499008
22081,88.8055,District 006,0,0.990197139
14823,32.6059,Airport Law Enforcement Section - South,0,0.990178237
11803,78.0349,District 011,0,0.990178237
7414,76.2042,District 001,0,0.990178237
351,76.7873,District 019,0,0.990178237
23484,76.7102,Detective Area - South,0,0.990178237
13725,57.5499,District 022,0,0.990178237
20363,31.6989,District 017,0,0.990178237
19912,55.5345,District 024,0,0.990178237
13051,74.4587,Detective Area - Central,0,0.990178237
30299,58.0948,Detective Area - North,0,0.989767464
3808,99.7249,Gang Enforcement - Area South,0,0.989651045
19584,70.5626,Detective Area - North,0,0.989585917
3083,53.1005,Asset Forfeiture Investigation Section,0,0.989429133
14357,71.7817,Detective Area - Central,0,0.989090803
859,82.7217,Narcotics Division,0,0.988991886
13483,93.3349,Narcotics Division,0,0.988841958
24081,41.1251,District 019,0,0.988812
20093,73.7343,Detective Area - South,0,0.988812
7190,69.6891,Airport Law Enforcement Section - South,0,0.988812
18413,38.3528,District 004,0,0.988549237
15947,62.8522,District 001,0,0.988544068
9629,96.2318,District 004,0,0.988290858
31278,62.307,Detective Area - Central,0,0.988041525
27602,87.6581,Detective Area - North,0,0.987515583
10171,95.816,Detective Area - North,0,0.987505611
24521,99.0104,Gang Enforcement - Area North,0,0.987423712
4881,94.5413,District 003,0,0.987254154
12112,38.9913,Detective Area - Central,0,0.987178039
7731,71.1092,Marine Operations Unit,0,0.987081468
13036,38.3554,Detective Area - Central,0,0.987081468
3259,84.7044,Detective Area - South,0,0.987081468
31522,65.1141,District 016,0,0.987081468
9014,50.6897,District 017,0,0.987081468
10629,59.329,District 018,0,0.987081468
30322,97.2833,Detective Area - North,0,0.987081468
29741,92.6063,Research And Development Division,0,0.987081468
21327,78.9683,District 020,0,0.987081468
2600,93.8852,Airport Law Enforcement Section - South,0,0.987081468
5080,78.8858,District Reinstatement Unit,0,0.986990517
9093,79.8816,District 019,0,0.986990517
23690,95.816,District 014,0,0.986990517
20309,46.2306,Bureau Of Internal Affairs,0,0.986990517
16793,56.0735,Detective Area - North,0,0.986990517
21336,89.2713,District 014,0,0.986990517
10254,71.1666,District 012,0,0.986990517
28158,81.4604,District 017,0,0.986990517
16608,91.5785,District 019,0,0.986990517
32062,90.7226,Narcotics Division,0,0.986990517
22094,88.1013,District 004,0,0.986961534
13720,55.103,District 025,0,0.986932842
25175,53.1351,District 014,0,0.986932842
31141,96.0223,District 025,0,0.986828036
26240,85.1821,District 018,0,0.986828036
3803,27.4426,District 017,0,0.986828036
32313,65.1141,Narcotics Division,0,0.986828036
22099,55.1531,District 018,0,0.986828036
11371,74.3097,District 018,0,0.986828036
30417,97.8258,District 017,0,0.986828036
389,94.3427,District 018,0,0.986828036
18432,24.3431,District 018,0,0.986828036
2885,24.8596,Detective Area - North,0,0.986828036
2946,29.3867,General Support Division,0,0.986828036
11783,80.6668,Airport Law Enforcement Section - North,0,0.986828036
5323,74.7927,District 017,0,0.986828036
9789,51.4692,Detective Area - Central,0,0.986828036
13810,75.5455,District 002,0,0.986534404
19532,81.2644,District 006,0,0.986534404
13495,45.4473,Bureau Of Internal Affairs,0,0.986534404
6766,27.482,Public Transportation Section,0,0.986534404
8274,85.966,District 002,0,0.986370716
4588,74.3953,District 024,0,0.986285272
14691,97.0005,District 006,0,0.986258321
32274,98.4601,Gang Investigation Division,0,0.986258321
13231,76.5305,District 002,0,0.98623614
28459,87.6581,Detective Area - South,0,0.98623614
18694,69.6552,Detective Area - Central,0,0.985817877
32078,88.3153,Narcotics Division,0,0.985817877
11980,98.6294,District 004,0,0.985809126
31444,76.046,District 010,0,0.985793495
5913,99.5797,District 011,0,0.98516707
3447,97.6462,District 001,0,0.985020354
32173,75.213,District 004,0,0.984954566
25501,64.2581,District 002,0,0.984781504
32253,82.6526,Narcotics Division,0,0.984781504
14100,84.628,Evidence And Recovered Property Section,0,0.98418852
13497,68.4116,Bureau Of Internal Affairs,0,0.984032818
11904,76.7491,District 011,0,0.984032818
18738,73.2337,District 020,0,0.984032818
8644,84.051,District 003,0,0.984032818
